gene,class
TSPAN6,L1
FGR,L1
CFH,L1
FUCA2,L6
GCLC,L6
NIPAL3,L6
LAS1L,L6
ENPP4,L6
ANKIB1,L6
HS3ST1,L4
WNT16,L5
CYP26B1,L4
AK2,L6
FKBP4,L4
CAMKK1,L2
RECQL,L6
CCDC132,L5
HSPB6,L2
PDK4,L6
SLC25A13,L6
DVL2,L6
THSD7A,L2
COPZ2,L1
MPO,L3
SOX8,L6
IBTK,L6
FBXL3,L6
PDK2,L2
ZFX,L6
LAMP2,L6
TMEM98,L6
ABCC8,L3
RALA,L6
ETV1,L5
PHTF2,L6
GGCT,L2
COX10,L4
GTF2IRD1,L2
SCIN,L1
ADIPOR2,L6
ST7L,L6
CACNA2D2,L4
BAIAP3,L3
SYPL1,L6
SPAG9,L6
AASS,L6
SEC62,L6
RPS20,L1
CSDE1,L6
REV3L,L6
PAX7,L4
FAM76A,L6
POMT2,L6
MLXIPL,L4
SPRTN,L6
CD9,L6
HHATL,L6
NCAPD2,L6
IFFO1,L3
STAB1,L1
SLC6A13,L1
CD4,L1
CLCN6,L4
SLC6A7,L3
TSPAN9,L3
ABHD5,L6
KAL1,L2
MBTD1,L6
PIK3C2A,L6
ANLN,L6
DCN,L1
PPP5C,L4
TYROBP,L1
BRCA1,L6
ERCC1,L2
CD22,L6
SEMA3B,L6
ELOVL5,L6
MAP4K5,L6
CLDN11,L6
MVP,L6
PGM3,L6
HEBP1,L6
MAMLD1,L3
UFL1,L6
CAPN1,L3
CCDC88C,L2
ZMYND11,L6
WAS,L1
XYLT2,L3
STMN4,L6
CLCA4,L6
SRCIN1,L6
IGF1,L2
SLC38A5,L1
AGPS,L6
TTC27,L6
PHLDB1,L6
MARCO,L1
SYT13,L3
CD74,L1
GPR124,L1
ZFP64,L4
MNAT1,L6
PLEKHB1,L6
SPAST,L6
RNH1,L6
RB1CC1,L6
BIRC3,L6
DERA,L6
DEF6,L1
UBR2,L6
TYMP,L1
TOMM34,L3
SEC63,L6
VIM,L1
RNASET2,L1
KCNG1,L2
AGPAT4,L6
VRK2,L6
TNFRSF1B,L1
SNX1,L6
IKZF2,L6
CENPQ,L6
TSSC1,L2
IFT88,L6
ABCF2,L3
FUT8,L6
UBA6,L6
GAB2,L6
APBA2,L4
SH3YL1,L6
DAPK2,L6
RFC1,L6
TBC1D23,L6
CYP46A1,L2
ZZZ3,L6
USP2,L2
AGA,L6
VCAN,L6
CLEC16A,L3
ZFYVE16,L6
RAI14,L6
SPDL1,L6
CTNS,L6
MED17,L6
CAPG,L1
DCUN1D1,L6
LCP2,L3
ADRB1,L3
CTNNA1,L6
EPHA3,L4
GEMIN8,L6
GPM6B,L6
CTPS2,L6
ARAP2,L6
TPR,L6
DTNBP1,L2
WWC3,L6
ARHGAP6,L6
MAP4,L6
HDAC9,L2
SNX29,L6
VPS13D,L5
COL9A2,L6
KITLG,L2
H6PD,L6
VAMP3,L6
EPN3,L3
RCN1,L2
ELN,L1
JKAMP,L6
TNIP3,L6
COL23A1,L2
CYBA,L1
ALX4,L1
NRIP2,L6
PHPT1,L1
ENTPD2,L1
ARID4B,L6
SDCCAG8,L6
HHAT,L3
PLEKHH1,L6
GALC,L6
KCNH2,L2
GINM1,L6
MLL3,L6
NPFFR2,L6
TRAF1,L6
DCBLD2,L4
PKP2,L2
F7,L3
TMCC3,L6
RIOK2,L6
FLYWCH1,L4
UNKL,L4
TBXAS1,L1
CDK17,L6
YBX3,L1
WNK1,L6
GNA15,L4
PTPRU,L5
QSER1,L6
LZTS1,L2
MON2,L6
GPBP1,L6
ZNF112,L6
LTK,L2
WAPAL,L6
RPL18,L1
GPC1,L2
LIMCH1,L6
ASUN,L6
ST3GAL6,L4
NGFR,L6
HIPK2,L6
SUGP2,L3
SLC12A2,L6
CNN2,L1
ABCA7,L4
FAR2,L5
BCAS1,L6
ANKS1A,L5
ZNF76,L2
IPO5,L2
OAT,L4
PKN2,L6
GLP2R,L2
DGKA,L2
ERBB3,L6
PDIA5,L2
TMEM206,L6
SNAP91,L4
PRKCQ,L6
FAM107B,L6
DIP2B,L6
ELOVL1,L6
SPI1,L1
MPPED2,L2
GOLGA5,L6
FGFR2,L6
ISOC1,L6
MTFR1,L6
STAG3,L6
FECH,L6
PFKP,L4
NEO1,L6
TRAM1,L6
TNFRSF1A,L1
EVI5,L6
TRO,L4
RRP15,L6
IARS2,L6
SYT1,L5
ROCK1,L6
CBFB,L6
IFI35,L1
HEATR6,L6
REEP1,L4
ATP11A,L6
LAPTM4A,L1
KIF2A,L6
SIRT2,L6
PPP2R5B,L5
MAST4,L3
GPR116,L2
SDK2,L6
NUCKS1,L6
GAL,L4
RORA,L3
ATP1B3,L4
UFD1L,L6
LRP6,L6
FGF10,L5
SLC44A1,L6
TMEM260,L6
EXOC5,L6
CLTCL1,L6
WIPI1,L4
GBA2,L3
ST6GALNAC2,L1
TESK2,L6
CAMK2A,L2
NCK2,L4
MAP4K4,L6
RPL31,L1
ARHGAP10,L2
RPS6KA2,L6
LMCD1,L1
TRIB2,L4
CPSF1,L3
CDH19,L6
SLC6A15,L4
ACTN1,L2
EPN2,L6
LIMS2,L1
ASIC4,L2
LNX1,L3
SREBF1,L6
MPP5,L6
SMC1A,L6
TRHDE,L4
NFATC3,L6
TRNT1,L6
NDE1,L6
PVR,L3
PANX2,L4
PDE8A,L6
SMARCE1,L6
KDM5A,L6
PPP2R3A,L6
DHRS9,L1
MAP3K13,L4
PICALM,L6
TEAD2,L1
C17orf85,L6
MGLL,L5
NTN4,L4
ZNF532,L6
LMAN1,L6
ENO1,L1
ANO8,L4
WSCD2,L3
SEMA3A,L6
SEMA3C,L6
ZNF638,L6
SLC25A40,L4
TIMM21,L6
ZNF37A,L6
FRYL,L6
PLD1,L6
DLG1,L6
RBM7,L6
MLH1,L6
KLHL20,L6
SLC46A1,L6
ANKRD13A,L6
RARB,L3
TOP2B,L6
TM9SF3,L6
DNAJC10,L6
DYNC1I2,L6
PHF17,L4
UBE2A,L6
FGFR1,L4
FBLN1,L1
CST7,L1
ACER3,L6
SYNJ2,L6
ITM2A,L1
PCM1,L6
ITCH,L6
TP53INP2,L6
MYH7B,L4
THOC1,L6
MKNK1,L2
LIPE,L6
DNM2,L6
EPB41L2,L6
MOXD1,L6
STX7,L6
PTPRH,L6
SLC35C2,L3
CRYBG3,L6
RFX3,L2
RIF1,L6
RAB21,L6
SESN1,L2
MID2,L4
KCNN2,L2
PSEN1,L6
CPOX,L6
CLDND1,L6
HSP90AA1,L5
RBL1,L6
CDH7,L4
EXD2,L6
ARG2,L2
CDC14B,L6
LRP2,L6
ZNF506,L6
PHLPP1,L6
ATP8B1,L5
STRADB,L6
BZW1,L6
ME2,L6
EPB41L3,L3
NFE2L1,L3
SEMA5B,L2
XPO1,L6
RNF13,L6
LYRM2,L6
BCKDHB,L6
KAT6A,L6
ULK2,L6
TNPO1,L6
P2RX5,L2
TDRD3,L6
RPS5,L1
CHMP2B,L6
ZMPSTE24,L6
REST,L6
GSTP1,L1
SLCO1A2,L6
EFR3B,L3
RAB10,L6
HADHA,L6
CD82,L6
PREP,L3
CPNE3,L6
TTC39A,L4
MGST2,L1
USP40,L6
POMGNT1,L6
DIMT1,L6
FOLH1,L6
RBM22,L6
TMED2,L6
LAT2,L1
MTMR2,L6
HSD17B14,L1
ACHE,L4
FTL,L1
ADAMTS2,L2
MMP2,L1
LPCAT2,L6
GNAO1,L6
TXNDC16,L6
PTHLH,L2
PHACTR3,L6
ERGIC2,L6
AAMDC,L6
SULT2B1,L4
ALG6,L6
DDX18,L6
TGDS,L6
FKBP1A,L2
CPXM1,L1
MAVS,L6
PROSAPIP1,L2
PLK1S1,L6
P2RX7,L6
ESF1,L6
ANAPC5,L6
RPLP0,L1
KIF16B,L6
TRMT6,L5
NOS1,L6
FXYD5,L1
ZNF302,L6
GRAMD1A,L3
KCNH4,L2
DDX24,L3
ARHGAP4,L1
RCOR1,L2
BLVRB,L1
SLC9A1,L4
SPTLC1,L6
PAPOLA,L6
CCNK,L6
PCBP4,L6
