gene,class
SLC6A3,ADHD
BTBD9,ADHD
TGM5,ADHD
SLC39A13,ADHD
SLC6A8,ADHD
PTPRG,ADHD
KIDINS220,ADHD
GJB2,ADHD
OTP,ADHD
NR0B1,ADHD
DRD4,ADHD
CARTPT,ADHD
ABCA13,BIPO
ABCB1,BIPO
ABCG1,BIPO
ABLIM1,BIPO
ABO,BIPO
ACACA,BIPO
ACADS,BIPO
ACE,BIPO
ACO1,BIPO
ACO2,BIPO
ACP1,BIPO
ACSL4,BIPO
ACTA2,BIPO
ACTB,BIPO
ACTL7A,BIPO
ADAM17,BIPO
ADAMTS16,BIPO
ADARB1,BIPO
ADCY1,BIPO
ADCY2,BIPO
ADCY3,BIPO
ADCY8,BIPO
ADCY9,BIPO
ADCYAP1,BIPO
ADCYAP1R1,BIPO
ADD3,BIPO
ADGRL3,BIPO
ADIPOQ,BIPO
ADM,BIPO
ADORA1,BIPO
ADRA1A,BIPO
ADRA2C,BIPO
ADRB2,BIPO
AFG1L,BIPO
AGRP,BIPO
AGT,BIPO
AHI1,BIPO
AKAP10,BIPO
AKAP6,BIPO
AKR1C4,BIPO
AKT1,BIPO
AKT2,BIPO
ALAS1,BIPO
ALDH2,BIPO
ALOX12,BIPO
ALOX12-AS1,BIPO
ALOX12P2,BIPO
AMD1,BIPO
AMPD3,BIPO
AMPH,BIPO
ANG,BIPO
ANK3,BIPO
ANKK1,BIPO
ANKRD12,BIPO
ANKS1B,BIPO
APOA1,BIPO
APOB,BIPO
APOD,BIPO
APOE,BIPO
APP,BIPO
ARHGAP8,BIPO
ARHGEF10,BIPO
ARHGEF10L,BIPO
ARHGEF15,BIPO
ARHGEF5,BIPO
ARHGEF7,BIPO
ARID3B,BIPO
ARNTL,BIPO
ARNTL2,BIPO
ARRB2,BIPO
ARVCF,BIPO
AS3MT,BIPO
ASAP2,BIPO
ASCC1,BIPO
ASCC2,BIPO
ASIC2,BIPO
ASMT,BIPO
ASTN1,BIPO
ASTN2,BIPO
ATF4,BIPO
ATF5,BIPO
ATF7IP,BIPO
ATP1A1,BIPO
ATP1A2,BIPO
ATP1A3,BIPO
ATP1B3,BIPO
ATP2A2,BIPO
ATP2B2,BIPO
ATP6V1E2,BIPO
AVP,BIPO
AVPR1B,BIPO
BABAM2,BIPO
BACE1-AS,BIPO
BAG1,BIPO
BAG3,BIPO
BCHE,BIPO
BCKDHB,BIPO
BCL11B,BIPO
BCL2,BIPO
BCL9,BIPO
BCR,BIPO
BDKRB2,BIPO
BDNF,BIPO
BDNF-AS,BIPO
BFAR,BIPO
BHLHE40,BIPO
BHLHE40-AS1,BIPO
BHLHE41,BIPO
BICC1,BIPO
BID,BIPO
BIVM,BIPO
BMS1,BIPO
BORCS7-ASMT,BIPO
BPI,BIPO
BPIFA2,BIPO
BRAP,BIPO
BRCA2,BIPO
BRD1,BIPO
C11orf21,BIPO
C11orf80,BIPO
C14orf28,BIPO
C20orf181,BIPO
C9orf72,BIPO
CA5A,BIPO
CABLES1,BIPO
CACNA1A,BIPO
CACNA1B,BIPO
CACNA1C,BIPO
CACNA1C-AS1,BIPO
CACNA1C-AS4,BIPO
CACNA1C-IT3,BIPO
CACNA1D,BIPO
CACNB2,BIPO
CACNB3,BIPO
CACNG2,BIPO
CACNG5,BIPO
CADM2,BIPO
CALB1,BIPO
CALCA,BIPO
CALM1,BIPO
CALM2,BIPO
CALM3,BIPO
CALR,BIPO
CAMK2A,BIPO
CAMKK2,BIPO
CAMKMT,BIPO
CAMP,BIPO
CAND1.11,BIPO
CAP2,BIPO
CARF,BIPO
CARTPT,BIPO
CASP8,BIPO
CASZ1,BIPO
CAT,BIPO
CAV1,BIPO
CAV2,BIPO
CBLIF,BIPO
CBS,BIPO
CCAT2,BIPO
CCDC102B,BIPO
CCDC170,BIPO
CCDC175,BIPO
CCK,BIPO
CCKAR,BIPO
CCL2,BIPO
CCR5,BIPO
CD14,BIPO
CD36,BIPO
CD40,BIPO
CD47,BIPO
CDAN1,BIPO
CDC25B,BIPO
CDH13,BIPO
CDH17,BIPO
CDH23,BIPO
CDH7,BIPO
CDKN2B-AS1,BIPO
CDSN,BIPO
CEACAM5,BIPO
CEBPZ,BIPO
CEP85L,BIPO
CFAP57,BIPO
CFP,BIPO
CGNL1,BIPO
CHDH,BIPO
CHI3L1,BIPO
CHL1,BIPO
CHMP1B,BIPO
CHRFAM7A,BIPO
CHRM2,BIPO
CHRM3,BIPO
CHRNA2,BIPO
CHRNA3,BIPO
CHRNA5,BIPO
CHRNA6,BIPO
CHRNA7,BIPO
CHRNB3,BIPO
CINP,BIPO
CISH,BIPO
CIT,BIPO
CKAP2L,BIPO
CLCN4,BIPO
CLEC10A,BIPO
CLOCK,BIPO
CMAHP,BIPO
CNNM2,BIPO
