action,adaptation,addiction,anticipation,anxiety,arousal,association,attention,autobiographical memory,balance,belief,categorization,cognitive control,communication,competition,concept,consciousness,consolidation,context,coordination,decision,decision making,detection,discrimination,distraction,eating,efficiency,effort,emotion,emotion regulation,empathy,encoding,episodic memory,expectancy,expertise,extinction,face recognition,facial expression,familiarity,fear,fixation,focus,gaze,goal,hyperactivity,imagery,impulsivity,induction,inference,inhibition,insight,integration,intelligence,intention,interference,judgment,knowledge,language,language comprehension,learning,listening,localization,loss,maintenance,manipulation,meaning,memory,memory retrieval,mental imagery,monitoring,mood,morphology,motor control,movement,multisensory,naming,navigation,object recognition,pain,perception,planning,priming,psychosis,reading,reasoning,recall,recognition,rehearsal,reinforcement learning,response inhibition,response selection,retention,retrieval,reward anticipation,rhythm,risk,rule,salience,search,selective attention,semantic memory,sentence comprehension,skill,sleep,social cognition,spatial attention,speech perception,speech production,strategy,strength,stress,sustained attention,task difficulty,thought,uncertainty,updating,utility,valence,verbal fluency,visual attention,visual perception,word recognition,working memory
3.794298887,4.701216221,-0.012098187,-1.064536214,1.596331358,0.705554783,5.269393444,4.579977989,0.450914294,1.489816904,2.486091375,4.213997364,1.748844385,7.083112717,4.119006634,2.054557323,0.197438881,2.086124182,6.99616003,-0.590811193,3.882913113,0.206031233,3.267850161,1.547108889,0.5528965,0.223197877,1.822447062,2.373832703,5.401457787,3.556446075,1.457576752,3.244448185,0.739859045,1.621279955,1.736420751,0.730358064,2.192080498,1.958235145,1.864121079,0.821409225,1.455784798,2.556506157,1.553578138,1.590098381,0.510126472,0.546053767,-1.260722518,0.650428474,2.799916744,1.623329878,0.055886064,9.948171616,1.684917331,1.812133074,1.594288707,6.585207939,7.24430418,25.10770607,9.828169823,4.519529819,14.89248943,3.177815914,1.800124407,1.051932335,2.259968758,13.88057995,5.030125141,0.848037362,0.890141249,2.313437462,1.271739244,2.942292452,-0.691272318,1.225180507,4.541429996,6.353710651,-1.063969851,2.767132282,-1.625198126,8.877153397,0.523789644,6.092649937,2.19087553,16.74242401,0.833539724,3.284730434,7.902284622,1.598495603,0.542229593,0.16223608,-0.140266135,0.148262754,5.434726715,-0.72504878,1.636590004,1.588787556,2.150866508,0.017009936,3.126237392,2.032977819,4.028072834,11.51207733,5.163805962,0.638580978,3.284227371,-0.030447654,11.34642315,7.324408054,3.000202417,4.575325966,1.825180054,0.155465499,0.029096028,3.870563507,-0.651843488,-0.116663568,0.396039069,2.701321602,2.0716362,2.010284662,0.802756906,7.249140263,1.575597048
6.467952728,3.19252634,-0.857013404,-0.68811202,0.306834787,-0.149216786,4.109379768,4.266661167,-0.00229538,1.121278048,2.625306606,2.562925577,1.790579677,6.443738937,3.032318592,1.019601583,0.017517619,0.296835333,4.576078892,-0.993278623,2.42824769,-0.4804959,3.485618114,1.82407248,0.776894748,-0.224659696,0.96373713,0.919469059,4.090087891,2.083646059,4.187148571,2.343104601,0.698963702,0.342308372,2.400643349,0.346389711,2.511350155,1.600382447,1.070351243,0.931961894,1.563636661,2.239345074,3.452436686,1.734755278,0.337430894,1.074566007,-1.129017472,-0.144567788,2.846547604,1.963240027,0.018966639,8.268661499,1.436022878,2.831548929,0.709775627,3.782242775,6.386671543,17.73272896,7.469320297,1.621673107,11.3310442,3.195234537,1.185357451,2.949995995,2.245726824,9.258020401,4.267438889,0.051154342,0.837939799,1.292229891,0.711298108,2.72216177,-0.705534518,1.466936588,3.818119526,3.316200018,-0.673137009,2.64489603,-0.748190224,9.154699326,1.752718329,3.81584239,1.933225751,12.11681652,0.81402874,2.54600215,6.134684086,1.889218926,-0.676360428,0.84728843,0.2941311,0.274576336,3.404484034,-0.865083694,2.020189047,0.626213849,0.267606288,0.045793202,1.476145148,2.591147423,2.394835711,8.727541924,3.097654343,-0.7777282,5.010335922,1.254664421,6.687788486,4.197990894,0.689797044,3.612410069,0.454877734,0.067221597,0.059785664,2.591459751,-0.650855958,0.407261223,1.241997838,1.043624163,2.332591534,1.222651243,0.975404203,3.362169743,3.925681114
2.628380537,1.243049264,3.310117006,4.263361454,4.735120296,3.557740927,3.355797052,4.016067982,-0.026029926,-0.460019529,0.959036946,0.951802135,5.370234489,0.405231953,1.134357691,0.862885058,1.315624118,-0.181688726,2.983345509,0.750377417,3.622988224,3.785989285,3.425275087,1.045282602,2.837725639,1.952315211,1.048891425,1.471369982,4.419442654,3.071778059,3.574472427,1.158771634,1.006943464,1.8492167,0.210837662,2.292971373,0.088166006,1.249440312,0.19702366,5.805112839,0.642154455,1.78046298,-0.357997805,2.67659688,3.350844622,0.785004854,3.12898922,1.861750484,-0.206281915,5.652112007,1.799351692,1.513561487,-0.488384664,0.48355633,3.786720514,-0.331440061,1.166706443,1.20257771,-0.559691131,2.952203989,0.751695693,1.971322775,3.346367836,1.873256087,1.427195191,0.756839931,3.251557827,1.301329494,0.101543456,4.846794128,1.460301399,2.126001596,1.849544048,1.899042368,0.162570268,1.674974918,-0.610465944,-0.663912714,11.24342918,3.507392645,2.104442596,0.869520068,1.601623058,1.19696939,0.830369413,0.970382929,1.34188807,-0.0004493,0.240301773,3.658556223,2.488390207,0.534998178,1.859133959,1.522062898,-0.15920122,4.279985905,1.328971148,4.016484737,0.087498985,1.053452849,0.965848804,-0.398818135,0.64520961,2.061783791,1.116248131,1.403154254,0.779977441,2.208705902,1.985724092,2.047254324,3.230284214,2.468656301,1.166943669,2.68424964,1.174158335,0.937754631,1.606925607,1.311703444,2.10123229,-0.696591258,0.935226977,0.487754434,2.925779581
-1.216843247,-0.065910697,-0.949654281,-0.114137165,-0.281981319,0.47239691,1.626446486,1.385486603,2.780843019,0.703505337,0.705215275,-0.219935179,1.370621562,-0.077597395,-0.907037616,0.396245867,0.284477532,-0.220211074,0.476262569,-1.477855563,2.071488619,0.760975063,0.075953245,-0.932276845,0.677993238,-0.923302174,0.966687381,-0.160787821,0.754047215,1.658351183,-0.773202002,0.770462155,2.720076084,-0.19699268,-0.056848649,1.351162076,-0.716235459,-1.076551318,0.592806935,-1.216073394,0.019759459,0.273530483,-0.818214834,1.722173095,0.541381001,-0.846042931,1.411606073,-0.456845552,0.874975681,-0.9856143,-0.14402248,-0.575096965,0.45076403,1.970150113,-0.677035213,2.001826048,1.134211659,-0.451598316,0.236074045,0.017619431,-1.00710535,0.242998749,-0.223693594,-0.17046997,0.85888499,0.987189174,3.686981201,3.098786116,0.005309041,1.060290217,-0.296386719,0.464611053,-0.383063763,-2.324315786,-1.55620563,-0.59947449,-0.364455312,-0.649215817,-0.600466073,-1.136982918,0.107811011,1.084449887,0.55463928,0.006037427,1.424747348,2.529848814,0.427612603,0.098852746,0.140524969,0.07065624,-0.469130725,0.299968094,2.463190794,-0.005735106,-0.590897202,1.037343025,0.488882273,1.055727482,1.320111156,-0.712759137,1.603482366,1.644377112,0.063253045,-0.933836043,0.146246403,-0.824251056,-0.66468662,-0.461849034,0.924476504,0.33926937,0.173048839,0.369308263,1.096696734,1.429981232,0.63248539,0.375306159,0.508659363,0.828144014,0.670323253,0.793642819,-0.284997612,-0.63100034,1.401514411
11.85181236,3.420231342,0.619788885,1.614207268,1.065512657,0.135282725,4.989326954,13.66437817,0.204320833,2.024410009,1.990613818,1.38261652,7.020478725,1.410354614,3.562646151,2.428868055,2.276916504,-0.163997009,5.741138935,4.202922344,5.943140984,3.904021025,4.685164452,3.37016654,1.738034964,-0.777196884,4.57664299,4.002282619,2.090159416,1.224021554,0.525621772,6.117491722,1.674045801,2.038390398,2.2315166,-0.241994455,-0.343185574,-0.308965087,3.986154318,0.375445455,4.903932571,3.359476566,5.759754658,6.838148117,1.431185126,7.352798462,1.226333618,0.73572892,2.89900732,5.074471951,1.960054994,4.434452534,3.010293007,2.579946518,6.96606493,3.255348921,4.880364418,7.418385506,3.571175337,7.574559212,1.745565653,1.247899652,2.335564613,8.098158836,6.773870945,2.977977514,15.08340263,1.98090899,3.462400913,6.47246933,0.28719914,0.788816392,3.98345542,8.982188225,1.776618004,2.020564795,3.617163658,1.566455007,-0.421219677,5.240497112,8.185045242,0.79814589,0.959095597,4.498793125,5.121744156,2.695997715,4.697392941,4.34416151,0.707570136,3.593882322,3.937706232,3.048288107,7.043992043,0.444717348,2.354841471,2.810150623,5.640995026,1.463575721,5.140017033,5.016471386,2.56239295,2.561680555,4.6632514,0.965265393,1.613856196,8.984541893,1.383308649,1.446017146,4.323983192,3.275920153,2.040833473,2.122970581,5.940187931,5.82912302,1.855446815,4.94389534,0.462070167,0.140810579,3.736336946,4.734099865,1.966790438,-0.78977263,16.50684738
5.867778301,5.973099232,1.330942631,0.047209494,2.824847221,0.795473695,5.235737324,8.713001251,2.58436203,0.172523469,1.498201847,2.882288933,10.00195122,1.900845766,4.00104332,3.089809179,1.94487679,0.292942882,7.830243111,0.111880966,8.282022476,5.546844482,4.228134155,3.294970512,4.017418385,0.14048861,5.154957771,4.522231102,4.102460384,2.662684917,1.540512919,7.281691074,5.570794582,1.498434186,1.598291993,0.392476946,0.607797682,0.193818107,4.503908157,0.755510271,2.334579706,4.025668621,1.583935022,5.074751377,1.450569391,3.410359383,1.579559207,1.165126085,2.082346678,3.994084835,2.262425423,5.873408318,1.770055771,3.842234373,8.108611107,8.835863113,7.283718109,15.42042923,5.07821703,7.05290699,2.920855522,3.94600606,1.666311622,6.446771622,6.449433804,6.06014967,17.64922523,6.624310017,2.601731062,6.592476368,3.140817881,3.097537756,2.191124678,2.197795391,1.849520326,5.930358887,1.930843592,2.482957125,-0.574316084,4.760861874,3.850569963,5.708712101,3.600542068,11.57117081,4.731007099,5.994386673,9.062065125,3.922219753,3.021193266,3.043686152,2.64451766,2.407390118,11.76770973,-0.854358792,0.330809534,4.030529976,6.363675594,2.785740137,5.149214745,3.662621498,4.246190548,5.348026752,2.783330679,1.224793673,2.180544138,1.837720156,2.106320858,2.795656443,3.913897276,2.750129223,2.183019638,2.70925045,6.732198238,6.49413538,1.432926774,4.089247704,0.710278511,1.841958523,4.745337486,1.245972633,1.168555617,3.300557375,14.33733177
3.052817345,2.344926357,0.274943054,-0.617616296,0.000838995,0.453169018,3.048522711,4.184212685,2.822984457,0.308007538,2.204870939,0.293833435,4.954088211,0.922405243,1.61561954,1.169093013,1.670565128,0.008853307,3.915265799,0.230991736,3.255423069,2.011338949,2.069057703,0.75539881,0.765592039,-0.266092002,2.482138157,2.168340445,3.172689915,3.836273432,0.505485952,3.917130709,3.609252453,1.207415342,0.628937066,1.357807755,-0.117503986,-0.996413827,2.564648867,0.626652479,2.601476908,3.081149101,1.79714632,2.953422546,0.406324893,1.985678911,-0.566406727,0.74654299,3.165709257,1.805868626,0.494885504,2.828344584,1.565815806,2.773120642,2.903342009,4.816437244,3.897247553,10.24155998,5.158819199,2.627807856,2.536748171,1.713345885,0.705197096,3.973458529,2.805924416,2.511754036,10.14434147,5.284932613,1.512309551,4.285881042,0.843845606,1.667798996,0.412889779,2.126962662,-0.696743727,2.327048063,0.344754845,-0.177641407,-1.054448009,1.677486181,1.927535772,1.550493956,2.333077669,4.795993805,5.353991985,4.391222477,3.576897144,2.786071539,0.698931456,1.402939677,1.465586543,0.914328635,7.557418346,-0.864670694,-0.346797585,1.685976863,2.282128334,1.446597576,3.365818977,0.368133187,3.883017302,5.095240593,1.871887088,-0.138027743,1.883499384,1.921166897,1.671011567,1.534780025,2.983524561,1.443336487,0.823117018,1.244140029,3.874565601,4.802502632,0.087957807,2.44157052,0.605669558,0.905463278,2.590314388,1.863582611,0.610512316,0.143275082,7.904212475
-1.875749946,-0.418054104,0.115003891,-0.630709767,-0.877636909,-0.625666678,0.858659565,-0.258660287,1.888324142,-0.291226596,0.085733704,0.987523675,-0.034346681,-0.996520579,-0.281486571,-1.197072268,1.300081491,-0.880903721,-0.983925998,-1.246508479,-0.715521932,-0.752374828,-0.438809156,-0.846519113,0.417039454,-0.686027646,-0.981000066,-0.275504977,-1.131700397,-0.122612827,-0.472868502,-0.996425986,1.853761435,-0.569840491,-0.887260437,-0.296045631,-0.926999986,0.081711717,0.038242195,-1.016928196,0.955246925,0.086634263,-0.518294573,-1.196018577,-0.213123038,-0.056483116,-0.312416583,-0.357207,0.168522552,-0.766181827,0.396538913,-0.237136394,0.547462583,0.76576823,-1.302925944,-0.370479554,-0.439629763,-0.912238121,-0.904443383,-1.134070039,-1.071511269,-0.041182663,-0.034412853,-0.338542134,1.103131175,-0.279138863,-0.226665273,0.57976526,0.905841708,-0.221313089,0.07883203,-0.170922071,-1.849990606,-2.14247942,0.353748173,-0.138505474,1.57889235,0.817397594,-2.055830717,-1.388805032,-0.353076667,0.410218626,0.71596396,-0.40909332,-0.088478491,0.633222938,-0.978918076,-1.267771006,-0.3671574,-0.301926911,-0.657276034,-0.701056421,0.964957118,-0.247318506,-1.365419388,0.185280666,-0.658091664,0.622421086,0.312720329,-0.222449675,0.388706535,0.152788013,-0.733982086,-0.319747925,0.099797718,-0.015235118,0.465041578,-0.240421876,0.467525631,0.256470352,0.58153671,0.559643447,-0.38094148,0.473726332,0.651822925,-0.036364142,-0.311828077,-0.756138921,-0.348990768,1.258672714,0.76293999,-0.634053767,-2.135317564
-1.118178606,-0.875032902,-0.807456374,-1.945016623,-0.798766017,-0.688204587,-0.921160698,-0.576103747,-0.41889894,-0.146755069,-0.279046237,0.313607246,-1.793867826,-1.874028921,-0.304070503,-0.998908818,-0.642463028,-0.576413274,-0.55871886,-0.59246403,-1.250844359,-0.841747522,-0.582690179,0.233928069,-0.844663918,-0.824827433,-1.553864241,-0.546825826,-1.895180583,-1.477655649,-0.690785229,-1.478037477,0.655959725,-0.375039935,-0.146675855,-0.927594006,-0.767167807,-0.460118115,-0.96586287,-1.634672403,0.877791584,-0.613110065,0.429662526,-0.473440945,-0.135850653,0.960379124,-0.823987126,-0.164883882,0.112485491,-1.067604661,-0.261531949,-0.461347461,-0.520278871,0.771867037,-1.050500631,-0.838863373,-0.271454126,-1.724361897,-0.630690515,-2.304711103,-1.239008069,0.044605531,-1.41917181,-1.181569576,-0.763369679,-0.201489404,-2.159219742,-0.823422134,1.118085861,0.039886866,-1.279017091,-0.341299593,-1.168442726,-0.926772654,0.03952888,-0.487255782,0.482599586,1.094049096,-1.818201661,-1.155860901,-0.547361851,-1.180704713,0.256005615,-0.855827987,-0.12914899,-1.692500114,-1.093732119,-1.188188553,-0.145727247,-0.934955955,-0.868438065,-1.216241598,-1.227974057,-0.521249056,-0.822179675,-0.15178591,-0.494367898,-0.707830191,0.034490947,0.534394681,-1.079613209,0.486125767,-0.474059343,-0.273474723,-0.490326226,1.562649369,-0.192296714,-1.501700878,-0.767729044,-0.344489157,-0.645992339,-0.767659009,-0.999018431,-1.01264298,-0.633582771,0.27804625,-0.394672722,-1.19740665,0.029662069,0.611655116,0.721896589,-1.028306723,-2.656349659
-4.418206215,-1.468031764,0.218235776,-1.081602931,1.257547736,0.716070592,-0.574927628,-5.43572998,-0.019458625,-0.684241593,-0.745364308,-1.549064279,-2.896019697,-1.507738352,-0.964595377,-0.714713931,-0.870270431,0.989193022,-2.420616865,-2.18330431,-2.602038622,-2.21308279,-1.679657936,-1.922471046,0.362978518,-0.531897724,-1.724177361,-1.559133291,1.369149685,0.102837905,-0.791408539,-0.277237356,0.663647532,-0.679769218,-1.135342956,0.937830687,0.999521613,0.374735475,0.800122261,2.543983221,-1.10806191,-1.654725075,-1.573016524,-2.523493528,-0.685494602,-2.5850811,-0.588198364,-0.303405017,-0.6980685,-2.745760679,-0.721143007,-2.683964491,-0.907581747,-1.215713024,-2.606268644,-1.754884243,-2.000111341,-4.097934246,-0.903028369,-2.100497484,-2.224714518,-0.883016765,-0.138540402,-2.086218119,-2.012318373,-2.177402973,-1.774629235,-0.278918028,-0.897918105,-3.401657343,0.531460285,-0.179470867,-2.080492735,-4.622480392,-1.985003829,-2.058889389,0.207382292,-1.027039289,-1.167217851,-3.340039253,-2.342500448,-1.63822031,-0.394709051,-3.447896242,-1.418156385,0.010901625,-0.206205741,-1.527411938,-0.741964877,-2.038297176,-1.510790229,-0.601014674,-0.830486298,0.231213659,-1.505057693,-0.82193768,-2.213481665,-0.371662885,-1.320699811,-1.927806973,0.159877777,-1.665148735,-1.701973319,-0.216033459,-1.194056273,-1.828383803,-1.809200048,-1.771408558,-1.677792072,-1.760498285,0.400540024,-0.843297243,-1.801683307,-1.766549587,-1.388071537,-1.488831043,-0.888349712,0.946258664,-1.317871809,-1.495009422,-1.138007879,-0.906178713,-4.252404213
